#t 0-1 0-2 0-3 0-4 0-5 0-6 1-2 1-3 1-4 1-5 1-6 2-3 2-4 2-5 2-6 3-4 3-5 3-6 4-5 4-6 5-6
0 0.0320805 0.456104 0.20914 0.296924 0.125298 0.16024 0.199401 0.308094 0.3875 0.2118 0.328053 6.1393 1.69126 1.38645 0.886327 3.14411 2.78741 1.09251 10.6899 1.18511 4.43534
.241890 0.03205 0.461574 0.20696 0.298054 0.124923 0.156244 0.193637 0.32005 0.385277 0.216684 0.314739 5.59141 1.64404 1.28773 0.84334 2.72039 2.47004 1.06005 9.47607 1.13362 4.56874
.483780 0.0320705 0.466911 0.205672 0.298367 0.124217 0.152892 0.187563 0.330779 0.382101 0.218321 0.303017 5.12732 1.57382 1.19869 0.805888 2.36698 2.20552 1.03326 9.09448 1.13216 4.70609
.725670 0.0321366 0.472214 0.20482 0.298177 0.122953 0.150108 0.181063 0.339976 0.37809 0.217628 0.292637 4.72588 1.49281 1.11908 0.773809 2.06613 1.98734 1.01039 9.36188 1.17233 4.85434
.967560 0.0322881 0.477536 0.204059 0.297487 0.121639 0.147748 0.174119 0.347567 0.373005 0.216092 0.283245 4.37094 1.40902 1.0497 0.746647 1.81573 1.80808 0.989261 10.3588 1.25803 5.00653
1.209450 0.0324724 0.482888 0.203146 0.296021 0.121586 0.145643 0.166753 0.353498 0.366324 0.215791 0.274422 4.05081 1.32783 0.992024 0.723717 1.61944 1.66209 0.967493 12.489 1.40348 5.1359
1.451340 0.0326914 0.488165 0.201909 0.292776 0.125737 0.143568 0.159106 0.357771 0.356498 0.220241 0.265778 3.75646 1.25088 0.949184 0.704169 1.48669 1.5396 0.943406 16.8428 1.64519 5.1885
1.693230 0.0327861 0.493521 0.200361 0.284253 0.141446 0.141336 0.15108 0.360572 0.338826 0.236472 0.257058 3.48348 1.17488 0.928981 0.687122 1.44412 1.4149 0.915398 26.0365 2.07676 5.06505
1.935120 0.0332089 0.498838 0.198406 0.257572 0.184422 0.13883 0.142689 0.362037 0.299121 0.277582 0.248191 3.22661 1.08466 0.949704 0.671791 1.54621 1.21113 0.884418 41.2778 2.88675 4.54683
2.177010 0.0336327 0.503925 0.196091 0.197851 0.247187 0.136058 0.134803 0.362209 0.231143 0.331223 0.239394 2.98402 0.982669 1.00481 0.657921 1.75594 0.894945 0.850867 36.537 3.81496 3.49442
2.418900 0.0341391 0.508779 0.193498 0.148345 0.280147 0.133033 0.127308 0.361316 0.190541 0.35241 0.23096 2.75533 0.943126 1.02151 0.645148 1.92244 0.70555 0.817102 16.8441 4.02751 2.7319
2.660790 0.0346365 0.51331 0.190709 0.126545 0.291787 0.130051 0.12007 0.359633 0.181175 0.354729 0.223325 2.5398 0.968656 1.01098 0.633431 2.1164 0.632832 0.784964 7.83606 3.78053 2.46155
2.902680 0.0351957 0.517454 0.187788 0.118709 0.296976 0.127236 0.113369 0.357413 0.182945 0.352266 0.216838 2.33734 1.04011 0.996191 0.623732 2.41368 0.593029 0.756862 4.32431 3.39846 2.37224
3.144570 0.03613 0.521068 0.184784 0.117697 0.300074 0.124668 0.10727 0.354985 0.188742 0.348541 0.21167 2.14651 1.15813 0.983935 0.616352 2.88223 0.562857 0.734584 2.76389 2.99714 2.30975
3.386460 0.0368567 0.524014 0.1817 0.121045 0.302418 0.122483 0.101906 0.352926 0.196076 0.344385 0.207845 1.96507 1.33226 0.975179 0.611618 3.66115 0.535539 0.721158 1.97662 2.61842 2.22299
3.628350 0.0375904 0.526114 0.178513 0.127994 0.304381 0.12077 0.0975616 0.352257 0.202872 0.339968 0.205319 1.79307 1.57627 0.969395 0.609907 5.10136 0.50467 0.721559 1.54533 2.27774 2.09983
3.870240 0.0383612 0.52712 0.175078 0.138603 0.306072 0.11957 0.0947717 0.35531 0.20508 0.335319 0.203947 1.63874 1.90282 0.965204 0.611668 8.39957 0.458127 0.753082 1.30503 1.9702 1.95037
