#t(fs) C1F2 C1F3 C1F4 C1C5 C1H6 C1C7 C1H8 C1F9 F2F3 F2F4 F2C5 F2H6 F2C7 F2H8 F2F9 F3F4 F3C5 F3H6 F3C7 F3H8 F3F9 F4C5 F4H6 F4C7 F4H8 F4F9 C5H6 C5C7 C5H8 C5F9 H6C7 H6H8 H6F9 C7H8 C7F9 H8F9(ang.)
.241890 1.3075376321 1.3272616885 1.3501910693 1.5101723875 2.5367939600 2.4326323359 2.6810264008 3.6641727837 2.1416768458 2.1171783794 2.3780626677 3.3039439996 3.3531897540 3.3905091152 4.4770477269 2.1325137416 2.3922169390 3.6086147011 2.6843190528 2.3006718704 4.0335417518 2.2911968953 2.4500224001 3.3464145209 3.8408314887 4.4606113967 1.6176633814 1.3407932237 2.3511396359 2.2889208198 2.6041610928 3.8838085282 2.9977742559 1.4719023880 1.3493814343 2.4685695688
.483780 1.3097689797 1.3266413318 1.3494684040 1.5082084198 2.5264357615 2.4336426770 2.6784219300 3.6636682767 2.1422465687 2.1173857392 2.3767968430 3.2974871989 3.3553281790 3.3888713502 4.4774140735 2.1322152556 2.3921434946 3.5983004202 2.6859220245 2.3051904290 4.0345213137 2.2891801950 2.4335391144 3.3481602872 3.8390288886 4.4605587553 1.6160962628 1.3450632937 2.3448166321 2.2910483172 2.6084484162 3.8753079389 3.0069821815 1.4614238553 1.3487835401 2.4586823089
.725670 1.3120374511 1.3260826096 1.3486553130 1.5062799578 2.5143356178 2.4348731360 2.6752020929 3.6631673546 2.1428469410 2.1176232780 2.3755229684 3.2896090796 3.3576289930 3.3870579394 4.4777425936 2.1319487473 2.3922068156 3.5861749712 2.6875325915 2.3100098895 4.0354400038 2.2870496141 2.4161587161 3.3501222625 3.8362817203 4.4604756553 1.6122913518 1.3498547650 2.3368313147 2.2932757507 2.6111742706 3.8626491430 3.0147982652 1.4481358584 1.3481285843 2.4462907162
.967560 1.3143257490 1.3255652744 1.3477276898 1.5043977540 2.5004578913 2.4363076036 2.6714162996 3.6626840996 2.1434546761 2.1178709861 2.3742319580 3.2802677357 3.3600535840 3.3850939851 4.4780235861 2.1316815245 2.3923944365 3.5721859050 2.6891272919 2.3151666308 4.0362988635 2.2847819015 2.3978707833 3.3522557391 3.8326037018 4.4603474013 1.6061941008 1.3551433338 2.3272379725 2.2956072326 2.6122777717 3.8458386537 3.0211885956 1.4320771304 1.3474435837 2.4314375454
1.209450 1.3166468289 1.3250881650 1.3467071965 1.5025713187 2.4847673034 2.4379573541 2.6671044079 3.6622206511 2.1440795840 2.1181488462 2.3729555551 3.2694473773 3.3626307504 3.3830258491 4.4782788917 2.1314241695 2.3927086265 3.5563016772 2.6907186865 2.3207036731 4.0370969663 2.2824035346 2.3787094621 3.3545897018 3.8280463383 4.4601955951 1.5977445432 1.3609239371 2.3160703770 2.2980358048 2.6117051715 3.8248625106 3.0261073827 1.4132770346 1.3467178297 2.4141430147
1.451340 1.3189764455 1.3246593157 1.3455911805 1.5008150752 2.4672437474 2.4398176586 2.6623437474 3.6617731407 2.1447201162 2.1184467383 2.3716819472 3.2571167833 3.3653284191 3.3808971205 4.4784774595 2.1311831037 2.3931620303 3.5385047422 2.6923074902 2.3266890538 4.0378301756 2.2799103507 2.3586830751 3.3571040271 3.8226681819 4.4600007820 1.5869025977 1.3671753273 2.3034000914 2.3005439514 2.6094055545 3.7997556761 3.0295161499 1.3917901592 1.3459492357 2.3944390958
1.693230 1.3213148813 1.3242755047 1.3443875600 1.4991399705 2.4478468683 2.4418805589 2.6572091419 3.6613549106 2.1453779890 2.1187646441 2.3704289050 3.2432432506 3.3681442695 3.3787682425 4.4786386777 2.1309605651 2.3937573888 3.5187537051 2.6938874296 2.3331628565 4.0385070403 2.2773148032 2.3378275667 3.3597960175 3.8165420916 4.4597817671 1.5735917731 1.3738786146 2.2893330539 2.3031355761 2.6053014253 3.7705608328 3.0313671146 1.3677214596 1.3451554126 2.3724325584
1.935120 1.3236523372 1.3239226853 1.3430937979 1.4975623803 2.4265547640 2.4441294836 2.6518034706 3.6609611018 2.1460425727 2.1191025948 2.3692009051 3.2277982415 3.3710484194 3.3767058750 4.4787438077 2.1307441734 2.3944921476 3.4970148258 2.6954444706 2.3402057002 4.0391153549 2.2746156909 2.3161726246 3.3626342279 3.8097537031 4.4595188927 1.5577593916 1.3809985643 2.2739798179 2.3057903941 2.5993261933 3.7373483669 3.0316180711 1.3411717985 1.3443408716 2.3481927360
2.177010 1.3259814790 1.3236054454 1.3417263247 1.4960967622 2.4033805306 2.4465869815 2.6462268506 3.6606171291 2.1467189969 2.1194605054 2.3680118252 3.2107894243 3.3740621931 3.3747809845 4.4788197187 2.1305527601 2.3953775840 3.4733046009 2.6970060427 2.3478640734 4.0396766404 2.2718307350 2.2937902491 3.3656456786 3.8024096556 4.4592431707 1.5393847321 1.3885342274 2.2574862809 2.3085213444 2.5914598354 3.7002577394 3.0302692811 1.3123035415 1.3435023679 2.3218718429
2.418900 1.3282958182 1.3233084072 1.3402790768 1.4947618212 2.3782974776 2.4492258820 2.6406188241 3.6603082408 2.1473975998 2.1198381839 2.3668639632 3.1921856977 3.3771399358 3.3730734991 4.4788305579 2.1303704870 2.3964130446 3.4475809500 2.6985506952 2.3562161537 4.0401706852 2.2689656837 2.2707330431 3.3687940577 3.7946382262 4.4589323440 1.5184007970 1.3964396161 2.2400358758 2.3112963370 2.5816156494 3.6594230392 3.0272645999 1.2813023075 1.3426434425 2.2936075685
